model,stream,layer,n,rho_mean,rho_p95,rho_max,varhet_mean,varhet_p95
llama-3.2-3b-instruct,K,11,512,0.154763,0.467371,0.783224,0.551423,1.514879
llama-3.2-3b-instruct,K,12,512,0.154279,0.481755,0.821122,0.443824,1.305787
llama-3.2-3b-instruct,K,13,512,0.142054,0.427612,0.753955,0.499428,1.484617
llama-3.2-3b-instruct,K,14,512,0.141492,0.388535,0.669495,0.519744,1.523927
llama-3.2-3b-instruct,K,15,512,0.155327,0.435920,0.822312,0.479434,1.362647
llama-3.2-3b-instruct,K,16,512,0.143407,0.405531,0.782661,0.448707,1.421107
llama-3.2-3b-instruct,K,17,512,0.144715,0.384188,0.744251,0.466620,1.371737
llama-3.2-3b-instruct,K,18,512,0.140002,0.387870,0.843955,0.425026,1.325575
llama-3.2-3b-instruct,K,19,512,0.149857,0.449200,0.852817,0.480081,1.477557
llama-3.2-3b-instruct,K,20,512,0.137944,0.444860,0.854519,0.423153,1.324729
llama-3.2-3b-instruct,K,21,512,0.136132,0.397239,0.837575,0.386537,1.260768
llama-3.2-3b-instruct,K,22,512,0.135848,0.432530,0.905390,0.395039,1.234462
llama-3.2-3b-instruct,K,23,512,0.147956,0.442321,0.870333,0.420510,1.382929
llama-3.2-3b-instruct,K,24,512,0.142021,0.419088,0.856581,0.405763,1.212356
llama-3.2-3b-instruct,K,25,512,0.130437,0.363891,0.850284,0.338389,0.999871
llama-3.2-3b-instruct,K,26,512,0.153617,0.416696,0.833238,0.465806,1.317298
llama-3.2-3b-instruct,K,27,512,0.157871,0.453398,0.833732,0.508519,1.568514
llama-3.1-8b,Q,0,2048,0.378915,0.830828,0.997968,0.848069,2.284844
llama-3.1-8b,Q,1,2048,0.239270,0.607594,0.986755,1.004352,2.696462
llama-3.1-8b,Q,2,2048,0.137684,0.384846,0.863873,0.418319,1.444677
llama-3.1-8b,Q,3,2048,0.136744,0.358907,0.754021,0.411543,1.389414
llama-3.1-8b,Q,4,2048,0.159593,0.407629,0.977420,0.452901,1.488504
llama-3.1-8b,Q,5,2048,0.145138,0.423300,0.964242,0.373070,1.194576
llama-3.1-8b,Q,6,2048,0.134915,0.373325,0.775058,0.363438,1.116943
llama-3.1-8b,Q,7,2048,0.128550,0.357354,0.727119,0.345116,1.054795
llama-3.1-8b,Q,8,2048,0.132267,0.364507,0.802240,0.367795,1.131943
llama-3.1-8b,Q,9,2048,0.120564,0.345939,0.672265,0.343725,1.096170
llama-3.1-8b,Q,10,2048,0.124034,0.328825,0.748684,0.340664,1.048414
llama-3.1-8b,Q,11,2048,0.116315,0.305974,0.724488,0.310067,0.857404
llama-3.1-8b,Q,12,2048,0.120117,0.310367,0.780482,0.349274,1.020818
llama-3.1-8b,Q,13,2048,0.116483,0.304432,0.800864,0.319347,0.942259
llama-3.1-8b,Q,14,2048,0.116687,0.330186,0.824447,0.313111,0.895834
llama-3.1-8b,Q,15,2048,0.123096,0.309848,0.583917,0.331306,0.945777
llama-3.1-8b,Q,16,2048,0.123270,0.328472,0.779222,0.317710,0.966006
llama-3.1-8b,Q,17,2048,0.125896,0.319013,0.817004,0.338574,1.018599
llama-3.1-8b,Q,18,2048,0.112245,0.311417,0.861364,0.288688,0.854436
llama-3.1-8b,Q,19,2048,0.122609,0.354005,0.880468,0.318443,0.988025
llama-3.1-8b,Q,20,2048,0.108486,0.277980,0.826925,0.286022,0.847863
llama-3.1-8b,Q,21,2048,0.109653,0.296542,0.810646,0.308627,0.904504
llama-3.1-8b,Q,22,2048,0.109443,0.299208,0.785714,0.274386,0.806820
llama-3.1-8b,Q,23,2048,0.109991,0.298798,0.828821,0.268172,0.854195
llama-3.1-8b,Q,24,2048,0.110382,0.312273,0.850588,0.281496,0.825945
llama-3.1-8b,Q,25,2048,0.110328,0.324245,0.787089,0.278366,0.887130
llama-3.1-8b,Q,26,2048,0.119889,0.326203,0.813022,0.279865,0.825998
llama-3.1-8b,Q,27,2048,0.107083,0.296120,0.737915,0.269571,0.800978
llama-3.1-8b,Q,28,2048,0.116280,0.307928,0.771622,0.319464,0.982550
llama-3.1-8b,Q,29,2048,0.107553,0.292852,0.781391,0.262426,0.840164
llama-3.1-8b,Q,30,2048,0.135352,0.362830,0.755649,0.344943,0.953862
llama-3.1-8b,Q,31,2048,0.153694,0.433873,0.960425,0.423950,1.324776
