layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,9,7,1.333521432e-01,-0.000775,0.000062,0.557709,1.225415e-01,2.641594e-01,0.463892,1.934053e-01,1.933991e-01
0,Q,9,8,1.000000000e-01,0.002108,0.001763,-0.119724,1.472037e-01,8.939622e-02,1.646643,1.183609e-01,1.183851e-01
0,Q,9,9,7.498942093e-02,-0.002202,0.000644,0.427614,1.818692e-01,3.052273e-01,0.595848,2.436841e-01,2.436191e-01
0,Q,9,10,5.623413252e-02,-0.004023,0.006479,0.183717,1.285026e-01,1.679721e-01,0.765024,1.483167e-01,1.481418e-01
0,Q,9,11,4.216965034e-02,-0.000137,0.011576,-0.277956,4.724739e-02,8.981349e-02,0.526061,6.853335e-02,6.874296e-02
0,Q,9,12,3.162277660e-02,-0.005526,0.013351,0.442579,3.028245e-01,8.659591e-01,0.349698,5.859477e-01,5.829219e-01
0,Q,9,13,2.371373706e-02,0.002145,0.020309,0.051251,2.248861e-01,6.425584e-01,0.349985,4.332743e-01,4.328786e-01
0,Q,9,14,1.778279410e-02,-0.007991,0.025063,-0.260623,4.443574e-01,1.289781e+00,0.344522,8.704471e-01,8.753921e-01
0,Q,9,15,1.333521432e-02,-0.017483,0.024473,0.272788,1.158993e+00,1.015736e+00,1.141038,1.086112e+00,1.078869e+00
0,Q,9,16,1.000000000e-02,-0.003392,0.048624,-0.194079,1.158386e+00,1.313247e+00,0.882078,1.236079e+00,1.247719e+00
0,Q,9,17,7.498942093e-03,-0.021037,0.007504,0.121902,1.569349e+00,1.600841e+00,0.980328,1.585427e+00,1.583977e+00
0,Q,9,18,5.623413252e-03,-0.037860,0.065093,0.053726,1.583015e+00,1.484225e+00,1.066560,1.531750e+00,1.526389e+00
0,Q,9,19,4.216965034e-03,-0.058139,0.058002,-0.028663,1.747069e+00,1.417532e+00,1.232473,1.572721e+00,1.575337e+00
0,Q,9,20,3.162277660e-03,0.029071,0.005782,0.128738,6.948101e-01,1.750427e+00,0.396937,1.207275e+00,1.206454e+00
0,Q,9,21,2.371373706e-03,-0.029757,0.201586,0.112419,2.784018e-01,5.489822e-01,0.507124,4.177178e-01,4.088582e-01
0,Q,9,22,1.778279410e-03,0.115461,0.063392,0.017182,7.716033e-01,1.117997e+00,0.690166,9.248026e-01,9.237909e-01
0,Q,9,23,1.333521432e-03,-0.134071,0.058145,-0.078160,1.624805e+00,1.275723e+00,1.273635,1.426863e+00,1.433406e+00
0,Q,9,24,1.000000000e-03,-0.199597,0.385077,0.038565,1.016007e+00,1.245433e+00,0.815786,1.153616e+00,1.136911e+00
0,Q,9,25,7.498942093e-04,0.022292,0.650353,-0.026550,1.069505e+00,1.377956e+00,0.776153,1.220293e+00,1.241254e+00
0,Q,9,26,5.623413252e-04,0.322370,0.724679,-0.005750,1.412440e+00,1.109094e+00,1.273508,1.309662e+00,1.314877e+00
0,Q,9,27,4.216965034e-04,0.571593,0.669410,0.082614,1.600142e+00,8.848573e-01,1.808362,1.446926e+00,1.381121e+00
0,Q,9,28,3.162277660e-04,0.742743,0.562238,-0.074207,2.750713e-01,1.412255e+00,0.194775,4.213457e-01,4.473498e-01
0,Q,9,29,2.371373706e-04,0.849905,0.448857,-0.024542,8.670677e-01,1.415417e+00,0.612588,9.082200e-01,9.204236e-01
0,Q,9,30,1.778279410e-04,0.913831,0.348535,0.032325,1.061221e+00,1.326118e+00,0.800246,1.072634e+00,1.059269e+00
0,Q,9,31,1.333521432e-04,0.950977,0.266509,-0.093321,1.057225e+00,1.084527e+00,0.974826,1.057895e+00,1.084526e+00
